,cluster,polygon_json,is_noise,num_total_grids,num_poor_grids,poor_grid_ratio,area_sq_km,Building_Count
0,0C,"{'type': 'Polygon', 'coordinates': [[(15.428237915039062, 73.98536682128906), (15.424118041992188, 73.98811340332031), (15.417251586914062, 73.99772644042969), (15.417251586914062, 74.00047302246094), (15.421371459960938, 74.00733947753906), (15.422744750976562, 74.00871276855469), (15.425491333007812, 74.01008605957031), (15.428237915039062, 74.01008605957031), (15.440597534179688, 74.00184631347656), (15.443344116210938, 73.99909973144531), (15.443344116210938, 73.99085998535156), (15.441970825195312, 73.98811340332031), (15.439224243164062, 73.98536682128906)]]}",False,291,194,0.666666667,6.812019,656
1,10C,"{'type': 'Polygon', 'coordinates': [[(14.932479858398438, 74.08424377441406), (14.929733276367188, 74.08561706542969), (14.926986694335938, 74.08836364746094), (14.926986694335938, 74.09111022949219), (14.931106567382812, 74.09523010253906), (14.933853149414062, 74.09523010253906), (14.936599731445312, 74.09248352050781), (14.939346313476562, 74.08836364746094), (14.939346313476562, 74.08699035644531), (14.937973022460938, 74.08424377441406)]]}",False,74,53,0.716216216,1.732266,46
2,11C,"{'type': 'Polygon', 'coordinates': [[(15.463943481445312, 74.06639099121094), (15.459823608398438, 74.07051086425781), (15.458450317382812, 74.07325744628906), (15.458450317382812, 74.08012390136719), (15.459823608398438, 74.08424377441406), (15.463943481445312, 74.08836364746094), (15.466690063476562, 74.08836364746094), (15.469436645507812, 74.08561706542969), (15.469436645507812, 74.07188415527344), (15.466690063476562, 74.06639099121094)]]}",False,134,95,0.7089552240000001,3.136806,213
3,12C,"{'type': 'Polygon', 'coordinates': [[(15.398025512695312, 74.10621643066406), (15.395278930664062, 74.10896301269531), (15.395278930664062, 74.11170959472656), (15.396652221679688, 74.11445617675781), (15.402145385742188, 74.11994934082031), (15.404891967773438, 74.11994934082031), (15.406265258789062, 74.11857604980469), (15.406265258789062, 74.11033630371094), (15.404891967773438, 74.10896301269531), (15.400772094726562, 74.10621643066406)]]}",False,82,64,0.780487805,1.9195380000000002,33
4,13C,"{'type': 'Polygon', 'coordinates': [[(15.516128540039062, 74.14329528808594), (15.514755249023438, 74.14466857910156), (15.513381958007812, 74.14741516113281), (15.513381958007812, 74.15290832519531), (15.514755249023438, 74.15428161621094), (15.517501831054688, 74.15565490722656), (15.520248413085938, 74.15565490722656), (15.522994995117188, 74.15428161621094), (15.522994995117188, 74.15016174316406), (15.520248413085938, 74.14466857910156), (15.518875122070312, 74.14329528808594)]]}",False,69,54,0.7826086959999999,1.615221,111
5,14C,"{'type': 'Polygon', 'coordinates': [[(15.429611206054688, 74.01145935058594), (15.426864624023438, 74.01420593261719), (15.425491333007812, 74.01832580566406), (15.425491333007812, 74.02381896972656), (15.426864624023438, 74.02656555175781), (15.430984497070312, 74.02931213378906), (15.435104370117188, 74.02931213378906), (15.436477661132812, 74.02793884277344), (15.437850952148438, 74.02107238769531), (15.437850952148438, 74.01832580566406), (15.435104370117188, 74.01420593261719), (15.433731079101562, 74.01283264160156), (15.430984497070312, 74.01145935058594)]]}",False,118,90,0.762711864,2.7622619999999998,73
6,15C,"{'type': 'Polygon', 'coordinates': [[(14.991531372070312, 74.05815124511719), (14.988784790039062, 74.05952453613281), (14.987411499023438, 74.06089782714844), (14.986038208007812, 74.06639099121094), (14.986038208007812, 74.06776428222656), (14.987411499023438, 74.07188415527344), (14.990158081054688, 74.07463073730469), (14.992904663085938, 74.07463073730469), (14.999771118164062, 74.06776428222656), (14.999771118164062, 74.06364440917969), (14.992904663085938, 74.05815124511719)]]}",False,113,77,0.681415929,2.6452169999999997,214
7,16C,"{'type': 'Polygon', 'coordinates': [[(15.165939331054688, 74.06227111816406), (15.163192749023438, 74.06364440917969), (15.161819458007812, 74.06501770019531), (15.160446166992188, 74.06776428222656), (15.164566040039062, 74.07188415527344), (15.167312622070312, 74.07188415527344), (15.171432495117188, 74.06776428222656), (15.171432495117188, 74.06639099121094), (15.167312622070312, 74.06227111816406)]]}",False,58,40,0.689655172,1.3577219999999999,57
8,17C,"{'type': 'Polygon', 'coordinates': [[(15.646591186523438, 73.79722595214844), (15.641098022460938, 73.79997253417969), (15.641098022460938, 73.80683898925781), (15.643844604492188, 73.80958557128906), (15.649337768554688, 73.80958557128906), (15.650711059570312, 73.80821228027344), (15.652084350585938, 73.80409240722656), (15.649337768554688, 73.79997253417969)]]}",False,75,54,0.72,1.755675,168
9,18C,"{'type': 'Polygon', 'coordinates': [[(15.715255737304688, 73.83567810058594), (15.712509155273438, 73.83842468261719), (15.712509155273438, 73.84254455566406), (15.718002319335938, 73.84529113769531), (15.720748901367188, 73.84254455566406), (15.720748901367188, 73.83979797363281), (15.719375610351562, 73.83705139160156)]]}",False,47,35,0.7446808509999999,1.100223,43
